[score_all] opt=opt2_loop_interchange level=2 | call=103 | elapsed=7.264 ms (7264 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.375 | cumulative=235.956 ms / 103 calls (avg=2.291 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=104 | elapsed=7.388 ms (7388 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.859 | cumulative=243.344 ms / 104 calls (avg=2.340 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=105 | elapsed=7.328 ms (7328 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.625 | cumulative=250.672 ms / 105 calls (avg=2.387 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=106 | elapsed=7.303 ms (7303 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.527 | cumulative=257.975 ms / 106 calls (avg=2.434 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=107 | elapsed=7.362 ms (7362 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.758 | cumulative=265.337 ms / 107 calls (avg=2.480 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=108 | elapsed=7.198 ms (7198 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.117 | cumulative=272.535 ms / 108 calls (avg=2.523 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=109 | elapsed=7.317 ms (7317 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.582 | cumulative=279.852 ms / 109 calls (avg=2.567 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=110 | elapsed=7.339 ms (7339 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.668 | cumulative=287.191 ms / 110 calls (avg=2.611 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=111 | elapsed=7.099 ms (7099 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=27.730 | cumulative=294.290 ms / 111 calls (avg=2.651 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=112 | elapsed=7.319 ms (7319 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.590 | cumulative=301.609 ms / 112 calls (avg=2.693 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=113 | elapsed=7.489 ms (7489 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=29.254 | cumulative=309.098 ms / 113 calls (avg=2.735 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=114 | elapsed=7.314 ms (7314 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.570 | cumulative=316.412 ms / 114 calls (avg=2.776 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=115 | elapsed=7.270 ms (7270 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.398 | cumulative=323.682 ms / 115 calls (avg=2.815 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=116 | elapsed=7.293 ms (7293 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=28.488 | cumulative=330.975 ms / 116 calls (avg=2.853 ms/call)
[score_all] opt=opt2_loop_interchange level=2 | call=117 | elapsed=7.148 ms (7148 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=27.922 | cumulative=338.123 ms / 117 calls (avg=2.890 ms/call)
