[score_all] LOADED opt=opt6_best level=6 openmp=1
[score_all] opt=opt6_best level=6 | call=64 | elapsed=1.593 ms (1593 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.223 | cumulative=47.552 ms / 64 calls (avg=0.743 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=65 | elapsed=1.603 ms (1603 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.262 | cumulative=49.155 ms / 65 calls (avg=0.756 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=66 | elapsed=1.481 ms (1481 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.785 | cumulative=50.636 ms / 66 calls (avg=0.767 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=67 | elapsed=1.614 ms (1614 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.305 | cumulative=52.250 ms / 67 calls (avg=0.780 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=68 | elapsed=1.426 ms (1426 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.570 | cumulative=53.676 ms / 68 calls (avg=0.789 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=69 | elapsed=1.505 ms (1505 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.879 | cumulative=55.181 ms / 69 calls (avg=0.800 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=70 | elapsed=0.097 ms (97 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=24.250 | cumulative=55.278 ms / 70 calls (avg=0.790 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=71 | elapsed=0.094 ms (94 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=23.500 | cumulative=55.372 ms / 71 calls (avg=0.780 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=72 | elapsed=0.091 ms (91 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=22.750 | cumulative=55.463 ms / 72 calls (avg=0.770 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=73 | elapsed=0.087 ms (87 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.750 | cumulative=55.550 ms / 73 calls (avg=0.761 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=74 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=55.634 ms / 74 calls (avg=0.752 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=75 | elapsed=0.085 ms (85 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.250 | cumulative=55.719 ms / 75 calls (avg=0.743 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=76 | elapsed=0.093 ms (93 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=23.250 | cumulative=55.812 ms / 76 calls (avg=0.734 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=77 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=55.898 ms / 77 calls (avg=0.726 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=78 | elapsed=0.105 ms (105 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=26.250 | cumulative=56.003 ms / 78 calls (avg=0.718 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=79 | elapsed=0.164 ms (164 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=41.000 | cumulative=56.167 ms / 79 calls (avg=0.711 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=80 | elapsed=0.087 ms (87 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.750 | cumulative=56.254 ms / 80 calls (avg=0.703 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=81 | elapsed=0.085 ms (85 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.250 | cumulative=56.339 ms / 81 calls (avg=0.696 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=82 | elapsed=0.087 ms (87 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.750 | cumulative=56.426 ms / 82 calls (avg=0.688 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=83 | elapsed=0.084 ms (84 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.000 | cumulative=56.510 ms / 83 calls (avg=0.681 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=84 | elapsed=0.083 ms (83 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.750 | cumulative=56.593 ms / 84 calls (avg=0.674 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=85 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=56.679 ms / 85 calls (avg=0.667 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=86 | elapsed=0.225 ms (225 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=56.250 | cumulative=56.904 ms / 86 calls (avg=0.662 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=87 | elapsed=0.127 ms (127 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=31.750 | cumulative=57.031 ms / 87 calls (avg=0.656 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=88 | elapsed=0.083 ms (83 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=20.750 | cumulative=57.114 ms / 88 calls (avg=0.649 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=89 | elapsed=0.174 ms (174 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=43.500 | cumulative=57.288 ms / 89 calls (avg=0.644 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=90 | elapsed=0.184 ms (184 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=46.000 | cumulative=57.472 ms / 90 calls (avg=0.639 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=91 | elapsed=0.165 ms (165 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=41.250 | cumulative=57.637 ms / 91 calls (avg=0.633 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=92 | elapsed=0.160 ms (160 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=40.000 | cumulative=57.797 ms / 92 calls (avg=0.628 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=93 | elapsed=0.115 ms (115 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=28.750 | cumulative=57.912 ms / 93 calls (avg=0.623 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=94 | elapsed=0.110 ms (110 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=27.500 | cumulative=58.022 ms / 94 calls (avg=0.617 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=95 | elapsed=0.098 ms (98 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=24.500 | cumulative=58.120 ms / 95 calls (avg=0.612 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=96 | elapsed=0.140 ms (140 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=35.000 | cumulative=58.260 ms / 96 calls (avg=0.607 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=97 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=58.346 ms / 97 calls (avg=0.602 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=98 | elapsed=0.114 ms (114 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=28.500 | cumulative=58.460 ms / 98 calls (avg=0.597 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=99 | elapsed=0.086 ms (86 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=21.500 | cumulative=58.546 ms / 99 calls (avg=0.591 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=100 | elapsed=0.105 ms (105 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=26.250 | cumulative=58.651 ms / 100 calls (avg=0.587 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=101 | elapsed=0.103 ms (103 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=25.750 | cumulative=58.754 ms / 101 calls (avg=0.582 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=102 | elapsed=0.107 ms (107 us) | n=4 p=1081 | map=467x314 | work_units(n*p)=4324 | us_per_candidate=26.750 | cumulative=58.861 ms / 102 calls (avg=0.577 ms/call) | path=n4 | openmp=1
[score_all] opt=opt6_best level=6 | call=103 | elapsed=1.419 ms (1419 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.543 | cumulative=60.280 ms / 103 calls (avg=0.585 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=104 | elapsed=1.332 ms (1332 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.203 | cumulative=61.612 ms / 104 calls (avg=0.592 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=105 | elapsed=1.333 ms (1333 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.207 | cumulative=62.945 ms / 105 calls (avg=0.599 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=106 | elapsed=1.329 ms (1329 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=5.191 | cumulative=64.274 ms / 106 calls (avg=0.606 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=107 | elapsed=1.578 ms (1578 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.164 | cumulative=65.852 ms / 107 calls (avg=0.615 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=108 | elapsed=1.616 ms (1616 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=6.312 | cumulative=67.468 ms / 108 calls (avg=0.625 ms/call) | path=omp_cand | openmp=1
[score_all] opt=opt6_best level=6 | call=109 | elapsed=1.848 ms (1848 us) | n=256 p=1081 | map=467x314 | work_units(n*p)=276736 | us_per_candidate=7.219 | cumulative=69.316 ms / 109 calls (avg=0.636 ms/call) | path=omp_cand | openmp=1
